PIVOT (HOP),TARGET C2,STATUS,SERVICE / PROCESS
36.125.163.141,181.33.173.224,ESTABLISHED,CFNetwork
181.33.173.224,36.125.163.141,ESTABLISHED,shortcuts Extension
181.33.173.224,142.34.23.236,ESTABLISHED,CFNetwork
142.34.23.236,181.33.173.224,ESTABLISHED,CFNetwork
121.124.147.152,93.187.221.199,ESTABLISHED,mDNSResponder
93.187.221.199,121.124.147.152,ESTABLISHED,mDNSResponder
145.141.108.64,1.231.193.221,ESTABLISHED,CFNetwork
1.231.193.221,145.141.108.64,ESTABLISHED,CFNetwork
93.22.97.158,197.37.247.245,BEACONING,Unknown System Process
197.37.247.245,93.22.97.158,ESTABLISHED,CFNetwork
188.209.236.114,111.70.39.238,ESTABLISHED,Unknown System Process
111.70.39.238,188.209.236.114,ESTABLISHED,Unknown System Process
142.34.23.236,111.70.39.238,ESTABLISHED,Weather
111.70.39.238,142.34.23.236,ESTABLISHED,Weather
36.125.163.141,90.198.111.124,ESTABLISHED,Unknown System Process
90.198.111.124,36.125.163.141,ESTABLISHED,CFNetwork
50.95.119.206,2.24.196.196,ESTABLISHED,CFNetwork
2.24.196.196,50.95.119.206,ESTABLISHED,shortcuts Extension
209.40.101.15,169.178.62.204,ESTABLISHED,Unknown System Process
169.178.62.204,209.40.101.15,ESTABLISHED,Unknown System Process
77.210.182.5,95.252.108.250,ESTABLISHED,tipsd / quic-connec
95.252.108.250,77.210.182.5,ESTABLISHED,tipsd / quic-connec
114.103.113.137,32.12.148.74,ESTABLISHED,CFNetwork
32.12.148.74,114.103.113.137,ESTABLISHED,CFNetwork
93.187.221.199,148.39.114.100,ESTABLISHED,symptomsd
148.39.114.100,93.187.221.199,BEACONING,CFNetwork
162.5.226.48,57.102.226.106,BEACONING,mDNSResponder
57.102.226.106,162.5.226.48,BEACONING,mDNSResponder
148.39.114.130,93.187.221.199,ESTABLISHED,CFNetwork
93.187.221.199,148.39.114.130,BEACONING,symptomsd
